eef,marker
"0.6438235172369127,0.2822786960406139,0.2526746589105321,-0.3500781287590677,0.3847793665135943,-0.2760842634874879,0.8081878632623223","-0.12217077252546259,-0.16008127491048793,0.7388540353002107,0.21611682636417037,0.96841463084638,0.12227705948797282,0.022692308122428215"
"0.6054364634270689,0.3572767669654843,0.25261821152115066,-0.3725416923932217,0.3631435370338711,-0.22715129949020244,0.8232507188452592","-0.09351186361597456,-0.1788639379952649,0.7393413545087618,0.27346441363956425,0.9538754108451909,0.12006333697385131,0.03039260061908814"
"0.6601795686282863,0.202737831551626,0.3120009179791541,-0.2984196571327742,0.36904591571207246,-0.3318499876130199,0.8152462241888851","-0.15257204779165917,-0.14863765568511317,0.7230072440459858,0.16055843386945615,0.9845063753761425,0.07009568026314077,0.007401470500172548"
"0.6952847859551899,0.21361830984776714,0.27440673141245664,-0.32696300665399475,0.40379864921030173,-0.3223214124106859,0.7912968787233373","-0.14450429485408448,-0.12202983344825681,0.7175004519635082,0.15947048327594182,0.9795689625569773,0.12162661310010704,0.014858652179185378"
"0.6847487930614146,0.30191574085609857,0.200275860436133,-0.3925441656501922,0.42996043084154173,-0.2623653660961224,0.7695502066777696","-0.10542748086632678,-0.12313125979346105,0.7277652520783208,0.21407275506512305,0.9567772040042103,0.1939154467686966,0.033867933819621644"
"0.6709028233993412,0.35006024496486676,0.2924710879284957,-0.36906765154677107,0.378994992376587,-0.24712549819709692,0.8118379471766879","-0.08155173904435835,-0.12326600042085797,0.6893101164908915,0.24761587168931132,0.9595573417100747,0.13106953282217965,0.027511190879584535"
"0.6487013762264229,0.2991059289051649,0.16419561229500754,-0.3989107634327255,0.4295592655592862,-0.2549713533921615,0.7689854674433426","-0.11477578394520159,-0.1569963590269647,0.7607118527327661,0.22198740811786663,0.9539545098929743,0.1981164835073285,0.03797686999553219"
"0.5974337128615881,0.34861035946799634,0.3415863155849902,-0.3254791219078454,0.31938271975946814,-0.23858818803459078,0.8573993795492937","-0.09332872747453512,-0.17557454469887948,0.7109917682623721,0.2726885595593165,0.9607804201828277,0.048612655457207846,0.013369495434490567"
